,year,NAMELSAD10,pd_count
328,2016,Census Tract 1408,700
329,2016,Census Tract 1409,228
330,2016,Census Tract 1410,364
331,2016,Census Tract 1411,537
332,2016,Census Tract 1412,258
333,2016,Census Tract 1413,182
334,2016,Census Tract 1414,188
335,2016,Census Tract 1415,230
336,2016,Census Tract 1416.01,78
337,2016,Census Tract 1416.02,340
338,2016,Census Tract 1417,116
339,2016,Census Tract 1960,291
340,2017,Census Tract 1401,175
341,2017,Census Tract 1403.01,194
342,2017,Census Tract 1403.02,292
343,2017,Census Tract 1404,339
344,2017,Census Tract 1405,327
345,2017,Census Tract 1406,141
346,2017,Census Tract 1407.01,209
347,2017,Census Tract 1407.02,165
348,2017,Census Tract 1408,355
349,2017,Census Tract 1409,129
350,2017,Census Tract 1410,177
351,2017,Census Tract 1411,262
352,2017,Census Tract 1412,126
353,2017,Census Tract 1413,103
354,2017,Census Tract 1414,85
355,2017,Census Tract 1415,113
356,2017,Census Tract 1416.01,49
357,2017,Census Tract 1416.02,184
358,2017,Census Tract 1417,71
359,2017,Census Tract 1960,129
